text,label
"Determine the optimal design for a gas processing plant that can handle 500 million standard cubic feet per day (MMSCFD) of raw natural gas, with a composition of 80% methane, 15% ethane, and 5% other hydrocarbons. The plant should meet API 614 standards for shaft sealing and API 672 standards for seal lubrication. Additionally, the plant must operate at a maximum temperature of 180°F (82°C) and pressure of 1500 psig (103.4 barg). Consider the effects of condensate handling, dehydration, and gas sweetening on the overall design.",4
"Given a gas reservoir with an initial pressure of 4500 psi, a permeability of 100 mD, and a porosity of 20%, estimate the total gas in-place using the Arps gas-in-place equation. Assume a gas compressibility factor of 0.8 and a reservoir temperature of 200°F. Furthermore, consider the presence of a layer of high-permeability sandstone with a thickness of 30 feet and a permeability of 1000 mD. Compare the results with and without accounting for this high-permeability layer.",1
"Design a water-injection system for a mature oil field with high water-cut rates, considering the effects of pressure drop and fluid saturation on well performance, and ensure compliance with API 11D1 standards.",1
"Optimize the hydraulic fracturing treatment design for a vertically fractured, oil-bearing carbonate reservoir with a temperature range of 120°F to 150°F (49°C to 66°C) and an average permeability of 50 mD. Consider the effects of proppant embedment, heat transfer, and stress-dependent permeability. Develop a comprehensive mathematical model incorporating the following equations: Darcy's law, heat transfer equation, and a poroelastic constitutive model. Apply numerical methods to solve the system of equations and predict the effective permeability and fluid flow rates.",1
"Given a wellbore trajectory with a lateral section in a complex geology formation, describe the application of geomechanical modeling to optimize hydraulic fracturing design and predict potential wellbore stability issues.",1
"Analyze the impact of increasing water cut on the overall oil production in a mature offshore platform, considering the effects of reservoir heterogeneity and fluid properties. Assume a constant oil viscosity of 50 cP and water viscosity of 0.7 cP. Derive a mathematical model to predict the oil production decline curve, taking into account the varying water cut rates and its influence on the well's deliverability.",1
"Develop a comprehensive design for a seawater injection system for a mature offshore oil field, considering the current reservoir pressure of 250 bar, a seawater temperature of 25°C, and a flow rate of 100 m³/h, ensuring compliance with API 11S2 guidelines for subsea equipment design. Provide calculations for the heat exchanger sizing, piping layout, and system pressure drop, assuming a 10% uncertainty in the reservoir pressure. Additionally, outline the necessary safety features and emergency shutdown procedures for the system.",4
"Optimize the perforating strategy for a high-angle well in a carbonate reservoir to minimize sand production and maximize hydrocarbon recovery, considering the rock mechanical properties and the wellbore stress-dependent, with a horizontal wellbore  from the earth, a prelude to the life cycle of the well, our task is to engineer the perforation phase to unleash the hydrocarbons that have been trapped for millennia, under the immense pressure of the deep, we must strike a balance between maximizing production and controlling sand production.",1
"What are the primary factors influencing the selection of a fluid management system for a subsea oil production facility, considering the interaction between the fluid properties, the well production characteristics, and the facilities' operational constraints?",3
"The performance of a water injection project in a mature oilfield is hindered by an increasing decline rate of the water injectivity index. Considering the data provided on the reservoir's geological properties, fluid dynamics, and production history, discuss the potential causes and propose a conceptual framework for optimizing the water injection strategy.",1
"Design a natural gas sweetening facility using a combination of amine absorption and molecular sieves to achieve a CO2 removal efficiency of at least 90% and a hydrogen sulfide removal efficiency of at least 95%. Consider the following constraints: a gas flow rate of 1.5 MMSCFD, a pressure range of 100-500 psig, and a temperature range of 40-120°F. Provide a detailed process flow diagram, including equipment specifications and a control scheme.",4
"Optimize the hydraulic fracturing treatment design for a horizontal well in a tight gas sand formation by maximizing the fracture conductivity while minimizing the proppant requirements, considering the effects of stress-dependent permeability and the anisotropic reservoir properties. Assume a reservoir pressure of 3000 psi, a fracture length of 2000 ft, and a proppant concentration of 200 lb/ft^3.",1
"Develop a mathematical model to optimize the flow rate of a horizontal well in a layered reservoir with an anisotropic permeability tensor, taking into account the effects of gravitational segregation and non-Darcy flow. Assume the reservoir is a 100-meter thick, 500-meter long horizontal layer with an average porosity of 20% and an anisotropic permeability tensor kxx = 100 mD, kyy = 50 mD, and kzz = 20 mD. The fluid properties are ρf = 800 kg/m³ and μf = 0.5 cp. Use a finite difference grid with a cell size of 1 meter and solve the flow equations using the Peaceman and Rachford method.",1
"An oil company is considering a marginal field with an estimated ultimate recovery of 1.5 million barrels. Assuming a 20-year production period, an annual production decline rate of 10%, and a selling price of $60 per barrel, what is the estimated NPV of the project using the average annual rate of return (AARR) method? Additionally, what are the economic limit conditions, and how do they relate to the project's profitability?",0
"Estimate the remaining oil in place (ROIP) of a vertically fractured horizontal well in a layered reservoir using the integrated flow units (IFUs) method, assuming the well's drainage radius is 150 meters and the reservoir's porosity and permeability are 0.25 and 10 mD, respectively, with a uniform compressibility of 3.5 x 10^(-5) 1/psi and an average reservoir temperature of 120°C. Furthermore, consider the effect of the reservoir's layering on the oil's relative permeability.",1
"Optimize the hydraulic fracturing treatment design for a vertical well with a 2000 ft payzone and an initial reservoir pressure of 4000 psi, using a black oil model and a pseudopressure function to account for non-Darcy flow.",1
"Determine the optimal mud weight for a well in a formation with a pore pressure gradient of 0.85 psi/ft and a fracture gradient of 1.25 psi/ft, considering a maximum allowed overbalance pressure of 1.5 psi.",6
"Develop a comprehensive risk assessment for a newly installed flare knock-out drum in a downstream gas processing facility, incorporating factors such as flange leakage, high-pressure surges, and inadequate venting. The risk assessment should adhere to API 521 and utilize a Failure Mode and Effects Analysis (FMEA) approach.",5
"Determine the optimal drainage radius for a horizontal wellbore in a heterogenous, shale-gas reservoir with a permeability of 0.1 mD and a porosity of 10% using the Kraber-Kazemi equation, assuming a vertical stress of 14.7 MPa and a horizontal stress of 12.5 MPa.",1
"The incorporation of artificial intelligence and machine learning algorithms in oilfield operations has led to significant improvements in reservoir characterization. However, the accuracy of these models heavily relies on the quality and quantity of the input data, as well as the underlying geostatistical framework employed. Specifically, the application of Bayesian inference in conditional simulation has been shown to improve the estimation of uncertainty in reservoir properties, particularly in the context of complex geological systems.",1
"Given a gas well with a constant flow rate of 5000 scf/day and a reservoir pressure of 2000 psia, determine the well's deliverability index and its relation to the formation permeability (k) using the Fetkovich model, assuming a reservoir temperature of 180°F and a total compressibility of 2.5e-5 psi^-1.",1
"A real-option analysis is performed on a marginal oil field with an estimated 5 million barrels of recoverable reserves. The field's production decline rate is modeled using an exponential curve with a half-life of 2 years. The development costs are estimated to be $50 million upfront, with a subsequent capital expenditure of $10 million every 2 years. The project's uncertainty is reflected in the oil price volatility, which is modeled as a geometric Brownian motion with a drift of 5% and volatility of 20%. The project's net present value (NPV) is calculated using a discount rate of 10%.",0
"Determine the optimal drilling fluid density for a shale gas well with a vertical section of 5000 ft and a horizontal section of 3000 ft, assuming a shale gas formation with a porosity of 15% and a permeability of 10 mD. The drilling fluid's rheological properties are defined by the power-law model, with a consistency index of 10 Pa·s^n and a flow behavior index of 0.5. The well is to be drilled with a 12 1/4 in. drill bit and a rotation speed of 100 rpm. Estimate the equivalent circulating density (ECD) of the drilling fluid at a flow rate of 500 bbl/min.",6
"The proposed design for the new offshore platform incorporates a novel combination of a three-phase separator and a gas-liquid cyclone to enhance oil-gas separation efficiency, while also minimizing the risk of two-phase flow in the export lines. This innovative approach leverages the principles of multiphase flow dynamics and computational fluid dynamics (CFD) simulations to optimize the platform's layout and piping configuration. However, the use of a higher pressure drop across the gas-liquid cyclone may result in a significant increase in the power consumption of the platform's compression system. To mitigate this effect, a detailed thermodynamic analysis of the system should be conducted to identify the optimal operating conditions and compression system configuration.",3
"A hydrocarbon reservoir is experiencing water breakthrough, causing a significant reduction in production. To mitigate this issue, the reservoir engineers are considering implementing a water-gas-separation (WGS) unit downstream of the production wells. Calculate the minimum required compression ratio for the WGS unit to ensure a 90% removal of water from the produced gas stream, given a gas flow rate of 1.2 million standard cubic feet per day (MMscfd) and a water cut of 25%. Additionally, discuss the potential effects of CO2 on the WGS unit's performance and propose any necessary adjustments to the design.",3
"Analyze the feasibility of deploying a coiled tubing unit for a high-temperature wellbore cleanup operation in a 30-degree directional well with a wellbore temperature of 375°F (190°C) and a reservoir pressure of 3,200 psi. Consider the coiled tubing unit's design limitations, fluid loss control, and the potential for scale formation during the operation. Assume the wellbore diameter is 4.5 inches and the coiled tubing unit's maximum operating pressure is 5,000 psi.",2
"Analyze the thermal stability of a reservoir containing a mixture of heavy and light oil components under varying temperature conditions, using the Gibbs free energy minimization approach to predict phase behavior and calculate the optimal operating conditions for oil production.",1
"Design a sweet spot for a gas processing plant in a harsh arctic environment, considering the effects of permafrost, high winds, and low temperatures on equipment selection, layout, and maintenance. The plant will process 100 MMSCFD of gas, with a 10% hydrogen sulfide content. Assume a 20-year design life and an annual operating period of 8 months.",4
"Analyze the effect of temperature and pressure on oil viscosity in a reservoir with a temperature range of 90°F to 140°F and a pressure range of 1500 psi to 3000 psi, and determine the optimal drilling mud weight to prevent wellbore instability.",6
"Consider a horizontal well with a moderate permeability reservoir (k = 100 mD), a length of 1000 meters, and a wellbore radius of 0.1 meters. Assuming a linear flow regime, derive an expression for the cumulative oil production (Np) as a function of time (t), and compare the results with the pseudoradial flow regime using the diffusivity equation and the van Everdingen-Hurst model.",1
"Analyze the impact of temperature-dependent fluid properties on the multiphase flow behavior in a horizontal wellbore, considering the effects of oil viscosity, gas compressibility, and water density.",1
Analyze the feasibility of installing a seismic acquisition system on a jack-up rig operating in a harsh Arctic environment with ice floes and a water depth of 30 meters. Consider the implications of wave motion on the rig's stability and the impact of cold temperatures on equipment performance.,6
"Develop a comprehensive well intervention plan for a horizontal oil well experiencing severe production decline due to scaled-up formation damage in the 12-15 inch perforated zone, assuming a 3,000-foot lateral length and 9.5-inch production tubing. Consider the optimal perforation density and stimulation strategy to restore 80% of the well's original production capacity.",2
"Develop a robust method to predict the impact of non-Darcy flow on well productivity in a heterogeneous formation, considering the effects of tortuosity, porosity, and permeability anisotropy.",1
"Develop a mathematical model to predict the impact of varying inclination angles on the drag coefficient of a horizontal wellbore in a heterogeneous reservoir with a non-Newtonian fluid. Assume the wellbore radius is 0.1 m, the fluid viscosity is 10 Pa·s at 25°C, and the reservoir permeability varies exponentially with depth according to the equation k(z) = k0 \* exp(-α \* z), where k0 = 100 mD, α = 0.05 m^-1, and z ranges from 2000 m to 3000 m.",1
"Design a scale-down model of a hydraulic fracturing system to mimic the flow behavior of a 5,000-foot deep well with a 6-inch diameter casing, considering the effects of non-Newtonian fluid rheology and the impact of proppant injection on fracture conductivity.",6
"Calculate the critical velocity for a gas well with a perforation length of 100 meters, a reservoir pressure of 70 bar, and a fluid viscosity of 0.5 cp, using the following equation: vc = sqrt((2 * p * L) / (ρ * f)), where p is the reservoir pressure, L is the perforation length, ρ is the fluid density, and f is the Fanning friction factor, which can be calculated using the Colebrook equation: 1/√f = -2 * log10(k/D * (ε/D) + 2.51/Re√f)",6
"A novel approach to directional drilling involves employing a combination of Pseudo-Static Temperature (PST) and Pressure-Volume-Temperature (PVT) modeling to optimize the placement of horizontal wells in a heterogeneous reservoir. The reservoir is characterized by a complex geological structure, comprising alternating layers of low-permeability shale and high-permeability sandstone. The goal is to maximize hydrocarbon recovery while minimizing the risk of wellbore instability and formation damage. To achieve this, a comprehensive reservoir simulation study is conducted, utilizing a 3D numerical model to simulate the thermal-hydraulic behavior of the reservoir.",1
"Optimize the pipe-in-pipe (PIP) system design for the Brae Alpha oil field platform, considering the sea bed terrain and extreme weather conditions. Incorporate the API 11D1 standard for subsea pipelines and ensure the system can withstand 30-year storms with a 2% probability of exceedance. Determine the optimal PIP configuration, including inner and outer pipe diameters, wall thickness, and material selection, to minimize the risk of erosion and corrosion while maintaining a high flow rate.",4
"Calculate the present value of a 5-year investment in a petroleum project with an initial cost of $10 million, annual operating costs of $3 million, and expected cash flows of $8 million, $12 million, $15 million, $18 million, and $20 million, respectively, using a discount rate of 10% and assuming a 5% inflation rate. Compare the results with a 7% discount rate.",0
"Analyze the feasibility of employing a polymer flooding scheme to augment oil recovery in a mature waterflooded reservoir with a net pay zone of 20 feet, porosity of 25%, permeability of 500 millidarcies, and initial water cut of 70%.",1
"Design a natural gas processing plant with a capacity to handle 500 MMscfd of wet gas, utilizing a cryogenic separation process to produce 300 MMscfd of pipeline-quality gas, 50,000 bbls/d of liquefied petroleum gas (LPG), and 20,000 bbls/d of liquefied natural gas (LNG), while meeting API 614 and API 686 standards for rotating equipment and complying with ISO 13706-1 and ISO 13706-2 for piping and equipment design.",4
"What are the implications of applying a 2-year production decline curve for a shale oil well with a current production rate of 200 barrels per day, compared to a 5-year decline curve, in terms of reserves estimation and field development planning?",3
"Develop a comprehensive framework for evaluating the economic viability of Enhanced Oil Recovery (EOR) techniques in a mature oil field with a high-water-cut rate, considering a 10-year production forecast, a $100 million upfront investment, and a target rate of return of 20%. Assume a current oil price of $60/bbl and an average operating cost of $15/bbl.",0
"A comprehensive reservoir simulation model requires integration of geomechanical, geochemical, and petrophysical properties to accurately predict fluid flow and pressure responses in a heterogeneous, anisotropic, and anisotropically stressed reservoir. However, the influences of non-Darcy flow, capillary pressure, and poroelasticity often interact in complex ways, necessitating a hierarchical modeling strategy to capture these interdependencies.",1
"To calculate the optimal well spacing in a heterogeneous reservoir with a non-constant permeability field, we can employ the stochastic simulation method. This involves generating multiple realizations of the permeability distribution, and then running a numerical simulation for each realization. The ensemble of results can be used to determine the probability distribution of the well production rates. However, the accuracy of this approach is sensitive to the underlying geological model and the choice of simulation parameters. What are the key factors that influence the convergence of the stochastic simulation results?",1
"Considering a directional drilling operation in a heterogeneous reservoir, describe the effect of dogleg severity on wellbore tortuosity and its implications for mud weight management, taking into account the relationship between tortuosity and formation pore pressure.",6
Assess the risk of blowout in a wellbore due to a fault in the blowout preventer (BOP) and calculate the pressure increase in the well considering the fluid properties and the well's geometry.,6
The recent application of a non-Newtonian fluid rheology model to optimize wellborely pressure transient analysis in a mature offshore oil field has led to a significant increase in production. Analyze the impact of variable fluid viscosity on the well's performance and determine the optimal injection rate to achieve a 20% production boost.,3
"Compare the economic viability of water-injection and gas-injection Enhanced Oil Recovery (EOR) methods for a mature oil field with an estimated 10 million barrels of remaining reserves, given a production decline rate of 5% per annum and a current oil price of $60 per barrel.",0
"Analyze the impact of variable density of the reservoir rock on the transient pressure behavior in the context of a vertically-fractured well in a mature oil field with high salinity and high-temperature conditions, assuming the well is producing a black oil with an API gravity of 22.5° and a bubble point pressure of 2700 psia.",1
"What are the implications of a pressure-dependent permeability model on the fractional flow of oil and gas in a heterogeneous reservoir? Specifically, how does this impact the calculation of oil and gas production rates in a multi-phase flow scenario?",1
"An oil company is proposing to develop a new unconventional tight gas reservoir. The reservoir has a porosity of 10% and a permeability of 0.1 mD. The oil company plans to use a hydraulic fracturing treatment to increase production. However, the company is concerned about the potential for induced seismicity. What is the primary mechanism responsible for induced seismicity in hydraulic fracturing operations?",1
"What are the implications of non-Darcy flow on the pressure drop in a porous media, and how does it relate to the Forchheimer equation?",1
"Assuming a typical Middle East oil reservoir with a depth of 5 km, a temperature gradient of 25°C/km, and an in-situ oil density of 840 kg/m³, calculate the expected oil viscosity at 150°C using the Waxman-Smits equation, and subsequently apply the Viscosity-Pressure Correlation (VPC) equation to determine the oil viscosity at 100 bar.",1
"Assuming a two-phase flow in a horizontal well with a constant temperature of 120°C, calculate the pressure drop along the wellbore using the Lockhart-Martinelli correlation, considering a water cut of 30% and a flow rate of 500 m3/day. Compare the results with the Hagedorn and Brown correlation.",3
"Given a vertical well with a horizontal section of 300 meters and a total wellbore diameter of 0.1 meters, calculate the equivalent circulating density (ECD) for a 10.5 ppg mud weight at a pump rate of 1000 bbl/min, taking into account the frictional pressure losses due to the horizontal section.",6
A pressure transient analysis is performed on a vertical well in a tight gas reservoir with a permeability of 0.1 md and a porosity of 0.15. The well is completed in a 100 ft thick reservoir with a total compressibility of 4E-6 psi^-1 and a gas viscosity of 0.012 cp. What is the productivity index of the well at 3000 ft TVDSS?,1
"A drilling engineer needs to calculate the stress state of a wellbore in a reservoir with a pore pressure of 18.5 MPa, a formation fracture gradient of 0.65 g/cm^3, and a drilling fluid density of 1.2 g/cm^3. The wellbore is oriented at an angle of 45° and is subject to a mud weight of 10.5 ppg. Using the method of Ramey Jr. and Cobb (1971), derive the effective stress tensor and calculate the principal stresses in the wellbore.",6
"Optimize the design of a multilateral wellbore system in a depleted gas reservoir with a non-Darcy flow regime, taking into account the impact of skin factors and proppant flowback on the well's production performance.",1
"To what extent does the application of the API 6A standard for wellhead equipment impact the reliability of blowout preventers in high-pressure wells, particularly in scenarios involving well control emergencies?",6
"Given a homogeneous, isotropic, and impermeable reservoir with an initial pressure of 5000 psi and a porosity of 0.2, calculate the total compressibility of the reservoir using the equation: ΔVΔP = ΔΩΔP ΔVΔΩ. Assume a bulk modulus of 2.5 million psi and a pore volume compressibility of 2.5 x 10^(-5) psi^(-1).",1
"What is the optimal mud weight to apply during the drilling process for a well with a predicted maximum pore pressure of 18.5 ppg and a minimum fracture gradient of 0.75 psi/ft, considering the formation characteristics of a heterogeneous shale with a porosity of 15% and a permeability of 1.2 mD?",6
"What is the effect of adjusting the mud weight on the drilling efficiency, taking into account the frictional pressure losses and the equivalent circulating density (ECD) in a vertical wellbore with a 12.25-inch diameter and a 10000 ft depth, assuming a constant flow rate of 1000 bbl/min and a mud density of 10.5 ppg?",6
"Analyze the impact of a 10% increase in oil prices on the net present value (NPV) of a mature oilfield with 500 million barrels of remaining reserves, using a discounted cash flow (DCF) model and a 10-year production period, with an average annual production rate of 50 million barrels and a decline rate of 10% per year.",0
"Calculate the Net Present Value (NPV) of a project with a 5-year lifespan, where the initial investment is $10 million, annual operating costs are $5 million, and the expected annual production is 10,000 barrels with a market price of $70 per barrel. Assume a discount rate of 12%.",0
"The determination of the effective permeability of a rock core sample requires consideration of the absolute permeability, the pore throat radius, and the saturation level, taking into account the Klinkenberg effect and its implications on gas flow through porous media.",1
Analyze the feasibility of implementing a hydrodynamic separation process in a gas processing plant with a capacity of 100 MMSCFD to remove impurities and improve the quality of the natural gas.,3
"Compare and contrast the fundamentals of material balance equations in compositional and black oil modeling, and discuss their applications in primary depletion and water injection scenarios.",1
"A production engineer is tasked with optimizing the performance of a gas condensate well in a mature field. The well has been producing at a rate of 500 bbl/day for the past 6 months, with a gas-oil ratio (GOR) of 2500 scf/bbl. What would be the impact on production if the GOR increases by 20%?",3
"Determine the most suitable design for a natural gas processing plant based on the Sweet Gas Model, considering the effects of condensate dropout and liquid dropout on the plant's overall efficiency and capacity.",4
"Determine the NPV of a project with an initial investment of $10 million, expected cash flows of $2 million in year 1, $4 million in year 2, and $6 million in year 3, and a discount rate of 8%.",0
"A multiphase flow model is being utilized to simulate the transient behavior of a gas-lifted well in a heterogeneous reservoir with changing fluid properties. The simulation is being performed using a finite-element method to capture the complex interactions between the gas and liquid phases. However, the simulation is experiencing difficulties in accurately capturing the effects of the reservoir heterogeneity on the fluid flow behavior.",1
"Optimize the water-injection strategy for a mature waterflooded oil reservoir with a heterogeneous permeability distribution, taking into account the geological features of the reservoir and the current production rates. The reservoir is characterized by a 3D geological model with multiple facies and fractures. The goal is to maximize oil recovery while minimizing the risk of aquifer influx.",1
"The lubricity of drilling fluids can significantly impact the frictional pressure losses in extended-reach wells. However, the performance of these fluids is often compromised by the interaction with high-temperature/high-pressure (HTHP) reservoir fluids.",6
"Given a wellbore trajectory with a constant inclination of 70° and a constant azimuth of 30°, determine the wellbore position at a depth of 8,000 ft using the Frenet-Serret formulas, considering the Earth's curvature and assuming a mean radius of 3,963 mi.",6
"Analyze the implications of applying a probabilistic risk assessment framework on a brownfield offshore production platform with a complex network of subsea wells, taking into account the uncertainty in reservoir properties and production rates.",2
"A pressure transient analysis was conducted on a vertical well in a heterogeneous reservoir with a permeability distribution that follows a power-law model. Assuming a compressible fluid with a real gas index of 0.7 and a reservoir temperature of 180°F, calculate the skin factor using the van Everdingen-Hurst model.",1
"Determine the optimal pipeline flow assurance strategy for a 30-km-long, 0.5-m-diameter offshore pipeline transporting 120,000 barrels per day of produced water, considering the effects of sea floor topography, flow assurance additives, and cathodic protection.",4
"An oilfield developer is planning to produce 10 MMscfd of natural gas from a new well over the next 5 years. Using the constant decline rate model, and assuming a decline rate of 10% per annum, calculate the production rate at the end of each year. Compare the results to a model assuming a 5% decline rate.",3
"An oil well is experiencing a severe loss of fluid circulation during a cementing operation. The well's annulus pressure is 500 psi, and the drillpipe's internal pressure is 1500 psi. Using the principle of incompressible fluids and Bernoulli's equation, derive a mathematical expression for the flow rate of the drilling fluid through the annulus.",6
"The reservoir pressure decline curve exhibits a nonlinear behavior due to the presence of a fractured zone, which can be modeled using a modified form of the exponential decline equation, where the total compressibility of the system is a function of the fracture's permeability and the reservoir's average porosity.",1
"Analyze the feasibility of implementing a hydrogen sulfide scavenger system in a natural gas processing plant with a capacity of 500 million standard cubic feet per day, considering the system's capital expenditure, operating costs, and potential environmental benefits.",3
"Given a gas well with a maximum allowable working pressure (MAWP) of 5000 psi, calculate the minimum required wall thickness of the tubing string using the API 5C3 standard for a depth of 5000 ft, and account for the effects of pressure, temperature, and load due to the mud weight of 12 lb/gal.",6
"Compare the economic viability of a steam injection Enhanced Oil Recovery (EOR) project in a mature oil field with a decline rate of 20% per annum, using a base-case production profile with an initial production rate of 5000 bbl/day and a water cut of 50%. Assume a steam injection rate of 100,000 lbm/day, a condensate rate of 500 bbl/day, and a fuel gas rate of 1000 scf/day. Estimate the project's Net Present Value (NPV) using a discount rate of 10% and a time horizon of 10 years, considering both the technical and economic feasibility of the project.",0
"Consider a horizontal well with a 20-degree deviation and 5% tilt, drilled in a 5000 ft thick pay zone with an average permeability of 10 mD and porosity of 20%. Calculate the Darcy's velocity using the Forchheimer equation.",1
"Given a reservoir with a permeability of 100 mD and a porosity of 25%, calculate the effective permeability to oil after water breakthrough, assuming a water saturation of 40% and a residual oil saturation of 20% using the Van Genuchten model.",1
"Analyze the economic feasibility of a vertical oil well with an initial production rate of 500 barrels per day, a decline rate of 5% per month, and a 20-year expected lifespan, using a net present value (NPV) calculation with a 10% discount rate.",0
"Given a horizontal well with a length of 5000 ft, a drainage radius of 400 ft, and a total compressibility of 4.5 x 10^-6 psi^-1, calculate the total skin factor using the radial flow equation, assuming a permeability of 10 md and a porosity of 0.2.",1
"The well's stabilized sand production rate is negatively impacted by the interplay between the reservoir's initial porosity, the permeability of the sand facies, and the viscosity of the crude oil. To optimize production, we must consider the first-order effects of the reservoir's compressibility on the sand pack's critical velocity. Can you derive the governing equation for the non-Newtonian fluid flow through the porous media?",1
"A comprehensive risk assessment of the proposed well design for a deepwater subsea well in the North Sea must consider the potential for faults in the cement sheath and the subsequent impact on wellbore stability. The analysis should account for factors such as wellbore geometry, mud weight, and casing design. Provide a detailed explanation of how to incorporate the API Spec 7K standard for well cements into this analysis, including relevant equations and formulae.",1
"A recent study on the application of carbon capture and storage (CCS) technology in the context of enhanced oil recovery (EOR) has shown promising results in terms of both oil production increase and greenhouse gas emissions reduction. However, the implementation of CCS-EOR in existing oil fields is often hindered by factors such as high capital costs, operational complexity, and the need for significant infrastructure upgrades. In light of these challenges, we propose a novel hybrid approach combining CCS with electrical submersible pumps (ESPs) to enhance oil recovery and reduce environmental impact. The proposed system would involve the injection of CO2 into the reservoir, followed by the use of ESPs to extract the displaced oil. This hybrid approach has the potential to overcome the limitations of traditional CCS-EOR methods and provide a more efficient and cost-effective solution for oil field operators.",1
